item,item_en,item_id,2025,2024,2023,2022,2021
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,177217216555.0,159154280541.0,166387538412.0,165086377850.0,171789505147.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,3971485663.0,6430101553.0,10921319246.0,5505311153.0,11383921950.0
Tiền,Cash,cash,3971485663.0,6430101553.0,10921319246.0,5505311153.0,11383921950.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,0.0,0.0,0.0,0.0,0.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,129412799720.0,91831946120.0,83934599720.0,93434599720.0,101434599720.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,3434599720.0,3434599720.0,3434599720.0,3434599720.0,3434599720.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,0.0,0.0,0.0,0.0,0.0
Các khoản phải thu,Accounts receivable,accounts_receivable,17192422666.0,20236714326.0,15917795981.0,17521620133.0,9719419624.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,13532187669.0,19011995244.0,14622681049.0,18478994612.0,10791921351.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,997963757.0,179991000.0,130668002.0,67537325.0,149400260.0
Phải thu nội bộ,Intercompany receivables,intercompany_receivables,0.0,0.0,0.0,0.0,0.0
Phải thu hợp đồng xây dựng đang thực hiện,Construction contract in progress receivables,construction_contract_in_progress_receivables,0.0,0.0,0.0,0.0,0.0
Phải thu khác,Other receivables,other_receivables,4239627910.0,2616470192.0,2742227473.0,384076800.0,75583000.0
Dự phòng nợ khó đòi,Provision for doubtful debts,provision_for_doubtful_debts,-1577356670.0,-1571742110.0,-1577780543.0,-1408988604.0,-1297484987.0
"Hàng tồn kho, ròng","Inventories, Net",inventories_net,26095296875.0,40134386782.0,54581762566.0,47792523143.0,49063178675.0
Hàng tồn kho,Inventories,inventories,28024606020.0,42119324734.0,55791386760.0,48096021370.0,49403889183.0
Dự phòng giảm giá hàng tồn kho,Provision for decline in inventories,provision_for_decline_in_inventories,-1929309145.0,-1984937952.0,-1209624194.0,-303498227.0,-340710508.0
Tài sản lưu động khác,Other current assets,other_current_assets,545211631.0,521131760.0,1032060899.0,832323701.0,188385178.0
Chi phí trả trước ngắn hạn,Short-term prepayments,short_term_prepayments,545181631.0,521101760.0,1032030899.0,832293701.0,188355178.0
Thuế GTGT được khấu trừ,VAT to be claimed,vat_to_be_claimed,0.0,0.0,0.0,0.0,0.0
Phải thu thuế khác,Other taxes receivable,other_taxes_receivable,30000.0,30000.0,30000.0,30000.0,30000.0
Tài sản lưu động khác,Other current assets,other_current_assets,0.0,0.0,0.0,0.0,0.0
