item,item_en,item_id,2025,2024,2023,2022
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,2665368715810.0,2298832190529.0,2401293188718.0,2613167987995.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,713099784256.0,524444966689.0,706016167119.0,301849270328.0
Tiền,Cash,cash,520039784256.0,54894966689.0,139936167119.0,174889270328.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,193060000000.0,469550000000.0,566080000000.0,126960000000.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,562960000000.0,320000000000.0,474600000000.0,517356520548.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,0.0,0.0,0.0,0.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,0.0,0.0,0.0,0.0
Các khoản phải thu,Accounts receivable,accounts_receivable,162508265478.0,195930015783.0,137115612188.0,168161861569.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,135843459849.0,93698543166.0,94365923424.0,103110086550.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,12547195933.0,47123930765.0,16970876188.0,25470241658.0
Phải thu nội bộ,Intercompany receivables,intercompany_receivables,0.0,0.0,0.0,0.0
Phải thu hợp đồng xây dựng đang thực hiện,Construction contract in progress receivables,construction_contract_in_progress_receivables,0.0,0.0,0.0,0.0
Phải thu khác,Other receivables,other_receivables,23014440833.0,35545237528.0,27290933980.0,21375192309.0
Dự phòng nợ khó đòi,Provision for doubtful debts,provision_for_doubtful_debts,-8896831137.0,-10545599148.0,-9925873750.0,-9227874395.0
"Hàng tồn kho, ròng","Inventories, Net",inventories_net,1140191645408.0,1178176967765.0,1001410560066.0,1529197569394.0
Hàng tồn kho,Inventories,inventories,1147520318656.0,1188164124868.0,1014704293150.0,1583422748509.0
Dự phòng giảm giá hàng tồn kho,Provision for decline in inventories,provision_for_decline_in_inventories,-7328673248.0,-9987157103.0,-13293733084.0,-54225179115.0
Tài sản lưu động khác,Other current assets,other_current_assets,86609020668.0,80280240292.0,82150849345.0,96602766156.0
Chi phí trả trước ngắn hạn,Short-term prepayments,short_term_prepayments,86170390556.0,79735342539.0,76574569820.0,90265433565.0
Thuế GTGT được khấu trừ,VAT to be claimed,vat_to_be_claimed,265332443.0,434072908.0,833034574.0,823838626.0
Phải thu thuế khác,Other taxes receivable,other_taxes_receivable,173297669.0,110824845.0,4743244951.0,5513493965.0
Tài sản lưu động khác,Other current assets,other_current_assets,0.0,0.0,0.0,0.0
TÀI SẢN DÀI HẠN,LONG-TERM ASSETS,long_term_assets,2034947396974.0,2377398519198.0,2701949352089.0,2881620467695.0
Phải thu dài hạn,Long-term trade receivables,long_term_trade_receivables,66583062297.0,61051271735.0,97730051613.0,110133485044.0
Phải thu khách hàng dài hạn,Long-term trade receivables from customers,long_term_trade_receivables_from_customers,0.0,0.0,0.0,0.0
Phải thu nội bộ dài hạn,Long-term intercompany receivables,long_term_intercompany_receivables,0.0,0.0,0.0,0.0
Phải thu dài hạn khác,Other long-term receivables,other_long_term_receivables,66583062297.0,61051271735.0,2379025000.0,8439923330.0
Dự phòng phải thu dài hạn,Provision for doubtful LT receivable,provision_for_doubtful_lt_receivable,0.0,0.0,0.0,0.0
Tài sản cố định,Fixed assets,fixed_assets,1195749870544.0,1502688821661.0,1778970625579.0,1961395712602.0
GTCL TSCĐ hữu hình,Tangible fixed assets,tangible_fixed_assets,1181911374181.0,1488090882610.0,1765396389230.0,1947916055207.0
Nguyên giá TSCĐ hữu hình,Cost,cost,4510485791499.0,4445080960748.0,4303139005812.0,4032549050840.0
