item,item_en,item_id,2025,2024,2023,2022,2021,2020,2018
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,4341827253256.0,3081018989584.0,3148011679041.0,2662699738155.0,4330369174765.0,4665386022190.0,0.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,365021213113.0,148911935224.0,95165075409.0,151374475776.0,240885247960.0,68075924740.0,6038542013.0
Tiền,Cash,cash,363271213113.0,146361935224.0,92615075409.0,108574475776.0,215635247960.0,67525924740.0,0.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,1750000000.0,2550000000.0,2550000000.0,42800000000.0,25250000000.0,550000000.0,0.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,478318619057.0,290692994520.0,326525000000.0,100000000000.0,57182666667.0,17000000000.0,0.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,0.0,0.0,0.0,0.0,65097500000.0,0.0,0.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,0.0,0.0,0.0,0.0,-7914833333.0,0.0,0.0
Các khoản phải thu,Accounts receivable,accounts_receivable,709867390507.0,444109706085.0,1105065760580.0,1502476580095.0,2933059782424.0,3583378328039.0,0.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,83291911776.0,188713231186.0,890459855304.0,1313962230556.0,2764759937080.0,3518691350382.0,0.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,537429788955.0,197401601586.0,149730153663.0,142136494506.0,115690518984.0,13949144029.0,0.0
Phải thu nội bộ,Intercompany receivables,intercompany_receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu hợp đồng xây dựng đang thực hiện,Construction contract in progress receivables,construction_contract_in_progress_receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu khác,Other receivables,other_receivables,98317429829.0,62184888730.0,66104050466.0,48705582700.0,52522668358.0,46271175626.0,0.0
Dự phòng nợ khó đòi,Provision for doubtful debts,provision_for_doubtful_debts,-9346340053.0,-4266008550.0,-4266008550.0,-4303303908.0,0.0,0.0,0.0
"Hàng tồn kho, ròng","Inventories, Net",inventories_net,2725620167681.0,2156075218789.0,1592961230786.0,881821214156.0,1087718158115.0,989390585293.0,0.0
Hàng tồn kho,Inventories,inventories,2725620167681.0,2156075218789.0,1592961230786.0,881821214156.0,1087718158115.0,989390585293.0,0.0
Dự phòng giảm giá hàng tồn kho,Provision for decline in inventories,provision_for_decline_in_inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tài sản lưu động khác,Other current assets,other_current_assets,62999862898.0,41229134966.0,28294612266.0,27027468128.0,11523319599.0,7541184118.0,0.0
Chi phí trả trước ngắn hạn,Short-term prepayments,short_term_prepayments,44740522090.0,24697495919.0,23690333542.0,23225601617.0,7639774596.0,4083045676.0,0.0
Thuế GTGT được khấu trừ,VAT to be claimed,vat_to_be_claimed,12171422216.0,13170833545.0,3971475355.0,3742602246.0,3829789818.0,3404383257.0,0.0
Phải thu thuế khác,Other taxes receivable,other_taxes_receivable,6087918592.0,3360805502.0,632803369.0,59264265.0,53755185.0,53755185.0,0.0
Tài sản lưu động khác,Other current assets,other_current_assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TÀI SẢN DÀI HẠN,LONG-TERM ASSETS,long_term_assets,6438201542044.0,4368011054921.0,3385649016789.0,2066396354761.0,1126876835678.0,580446573650.0,0.0
Phải thu dài hạn,Long-term trade receivables,long_term_trade_receivables,260322902238.0,223711119764.0,120476649201.0,81702014200.0,99020809256.0,91985367223.0,0.0
Phải thu khách hàng dài hạn,Long-term trade receivables from customers,long_term_trade_receivables_from_customers,0.0,0.0,0.0,0.0,0.0,0.0,0.0
