item,item_en,item_id,2025,2024,2023,2022
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,24192282904.0,29371257671.0,17603414604.0,12940172914.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,2361856910.0,12649502081.0,3017103939.0,6741373400.0
Tiền,Cash,cash,2361856910.0,12649502081.0,3017103939.0,4241373400.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,0.0,0.0,0.0,2500000000.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,0.0,0.0,0.0,0.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,0.0,0.0,0.0,0.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,0.0,0.0,0.0,0.0
Các khoản phải thu,Accounts receivable,accounts_receivable,14904031727.0,12504651184.0,12099351602.0,3789287144.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,5593366732.0,4644448750.0,3451661497.0,2359910120.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,3074991205.0,3327711000.0,2994660813.0,1419463024.0
Phải thu nội bộ,Intercompany receivables,intercompany_receivables,0.0,0.0,0.0,0.0
Phải thu hợp đồng xây dựng đang thực hiện,Construction contract in progress receivables,construction_contract_in_progress_receivables,0.0,0.0,0.0,0.0
Phải thu khác,Other receivables,other_receivables,6208670938.0,4505488582.0,5626026440.0,9914000.0
Dự phòng nợ khó đòi,Provision for doubtful debts,provision_for_doubtful_debts,0.0,0.0,0.0,0.0
"Hàng tồn kho, ròng","Inventories, Net",inventories_net,856586600.0,993134322.0,660057000.0,400311000.0
Hàng tồn kho,Inventories,inventories,856586600.0,993134322.0,660057000.0,400311000.0
Dự phòng giảm giá hàng tồn kho,Provision for decline in inventories,provision_for_decline_in_inventories,0.0,0.0,0.0,0.0
Tài sản lưu động khác,Other current assets,other_current_assets,6069807667.0,3223970084.0,1826902063.0,2009201370.0
Chi phí trả trước ngắn hạn,Short-term prepayments,short_term_prepayments,4877045706.0,2193567334.0,1089619869.0,1311189611.0
Thuế GTGT được khấu trừ,VAT to be claimed,vat_to_be_claimed,1192761961.0,1030402750.0,737282194.0,698011759.0
Phải thu thuế khác,Other taxes receivable,other_taxes_receivable,0.0,0.0,0.0,0.0
Tài sản lưu động khác,Other current assets,other_current_assets,0.0,0.0,0.0,0.0
TÀI SẢN DÀI HẠN,LONG-TERM ASSETS,long_term_assets,38008172188.0,33711708555.0,31954431853.0,34933645456.0
Phải thu dài hạn,Long-term trade receivables,long_term_trade_receivables,0.0,579666372.0,713396372.0,992455472.0
Phải thu khách hàng dài hạn,Long-term trade receivables from customers,long_term_trade_receivables_from_customers,0.0,0.0,0.0,0.0
Phải thu nội bộ dài hạn,Long-term intercompany receivables,long_term_intercompany_receivables,0.0,0.0,0.0,0.0
Phải thu dài hạn khác,Other long-term receivables,other_long_term_receivables,0.0,579666372.0,713396372.0,992455472.0
Dự phòng phải thu dài hạn,Provision for doubtful LT receivable,provision_for_doubtful_lt_receivable,0.0,0.0,0.0,0.0
Tài sản cố định,Fixed assets,fixed_assets,27522973783.0,27922872006.0,27466112756.0,31540010607.0
GTCL TSCĐ hữu hình,Tangible fixed assets,tangible_fixed_assets,15955948682.0,16272513577.0,15732420999.0,20037927264.0
Nguyên giá TSCĐ hữu hình,Cost,cost,42694759016.0,39445783676.0,35681054553.0,35681054553.0
Khấu hao lũy kế TSCĐ hữu hình,Accumulated depreciation,accumulated_depreciation,-26738810334.0,-23173270099.0,-19948633554.0,-15643127289.0
GTCL tài sản thuê tài chính,Finance lease assets,finance_lease_assets,0.0,0.0,0.0,0.0
Nguyên giá tài sản thuê tài chính,Cost,cost,0.0,0.0,0.0,0.0
Khấu hao lũy kế tài sản thuê tài chính,Accumulated depreciation,accumulated_depreciation,0.0,0.0,0.0,0.0
GTCL tài sản cố định vô hình,Intangible fixed assets,intangible_fixed_assets,11567025101.0,11650358429.0,11733691757.0,11502083343.0
Nguyên giá TSCĐ vô hình,Cost,cost,11872500000.0,11872500000.0,11872500000.0,11622500000.0
Khấu hao lũy kế TSCĐ vô hình,Accumulated depreciation,accumulated_depreciation,-305474899.0,-222141571.0,-138808243.0,-120416657.0
