item,item_en,item_id,2024,2023,2022,2021,2020,2019,2018
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,22192281555771.0,19478597669890.0,17783998782736.0,16238689244477.0,11338108287953.0,2287189574105.0,1955682429448.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,722226654595.0,756859464983.0,629496375653.0,1044039648431.0,903386455277.0,150211393104.0,73644944553.0
Tiền,Cash,cash,673585070634.0,480303912175.0,540796375653.0,653309648431.0,816052667698.0,111703984452.0,45344944553.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,48641583961.0,276555552808.0,88700000000.0,390730000000.0,87333787579.0,38507408652.0,28300000000.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,619491294170.0,541418592264.0,510594134175.0,1583414128890.0,593767088890.0,36021748890.0,15821748890.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,5011655840.0,5012781949.0,43541748890.0,1001401748890.0,566767088890.0,6841748890.0,6841748890.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,-456000000.0,0.0,0.0,0.0,0.0,0.0,0.0
Các khoản phải thu,Accounts receivable,accounts_receivable,16548528646839.0,13941466941737.0,13461025497288.0,10285205921122.0,7083496019552.0,1196331928863.0,1628797201057.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,1776129800444.0,1098565555782.0,805844968489.0,520123014077.0,901498322187.0,644005108259.0,477646990238.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,5275110370049.0,4259308576569.0,4156530289385.0,1265926628464.0,757200946393.0,249924046971.0,220924527858.0
Phải thu nội bộ,Intercompany receivables,intercompany_receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu hợp đồng xây dựng đang thực hiện,Construction contract in progress receivables,construction_contract_in_progress_receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu khác,Other receivables,other_receivables,8850787485116.0,8039667063457.0,8417728411826.0,8216216084455.0,5503703231975.0,348568691008.0,949859909673.0
Dự phòng nợ khó đòi,Provision for doubtful debts,provision_for_doubtful_debts,-56048625769.0,-43788575674.0,-97936214038.0,-230474595564.0,-87320715940.0,-52811955675.0,-24984710898.0
"Hàng tồn kho, ròng","Inventories, Net",inventories_net,3360878732567.0,3775256086691.0,2754762193315.0,2866554053670.0,2276299016968.0,841786455109.0,179890398131.0
Hàng tồn kho,Inventories,inventories,3387615599312.0,3811685047364.0,2793060545800.0,2866554053670.0,2276299016968.0,841786455109.0,179967151331.0
Dự phòng giảm giá hàng tồn kho,Provision for decline in inventories,provision_for_decline_in_inventories,-26736866745.0,-36428960673.0,-38298352485.0,0.0,0.0,0.0,-76753200.0
Tài sản lưu động khác,Other current assets,other_current_assets,941156227600.0,463596584215.0,428120582305.0,459475492364.0,481159707266.0,62838048139.0,57528136817.0
Chi phí trả trước ngắn hạn,Short-term prepayments,short_term_prepayments,761321561175.0,283441392588.0,82203869025.0,37387174879.0,19812812899.0,24292930507.0,27182868366.0
Thuế GTGT được khấu trừ,VAT to be claimed,vat_to_be_claimed,166904252328.0,173565426157.0,342369166568.0,420724094059.0,449135237299.0,32482833677.0,29283422680.0
Phải thu thuế khác,Other taxes receivable,other_taxes_receivable,12930414097.0,6589765470.0,3547546712.0,1364223426.0,12211657068.0,6062283955.0,1061845771.0
Tài sản lưu động khác,Other current assets,other_current_assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TÀI SẢN DÀI HẠN,LONG-TERM ASSETS,long_term_assets,24330345870388.0,22530737452373.0,26058698158301.0,21450636661248.0,12798717405488.0,4967455173422.0,3364943361229.0
Phải thu dài hạn,Long-term trade receivables,long_term_trade_receivables,9179952684983.0,8128982721257.0,11036158545330.0,9771775848219.0,6042279634580.0,2755475628857.0,1017813981430.0
Phải thu khách hàng dài hạn,Long-term trade receivables from customers,long_term_trade_receivables_from_customers,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu nội bộ dài hạn,Long-term intercompany receivables,long_term_intercompany_receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu dài hạn khác,Other long-term receivables,other_long_term_receivables,8966355684983.0,8118284698330.0,10929758545330.0,9581775848219.0,6042279634580.0,2755475628857.0,1017813981430.0
Dự phòng phải thu dài hạn,Provision for doubtful LT receivable,provision_for_doubtful_lt_receivable,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tài sản cố định,Fixed assets,fixed_assets,9146761672416.0,9604768756873.0,8112831678532.0,5832109332974.0,365145105741.0,310883194742.0,226173938515.0
GTCL TSCĐ hữu hình,Tangible fixed assets,tangible_fixed_assets,8724888453849.0,9173465133196.0,7706358008785.0,5818528552748.0,358998799018.0,295598183302.0,221358206144.0
Nguyên giá TSCĐ hữu hình,Cost,cost,11118284011832.0,10935307193271.0,8899057038021.0,6292017516316.0,529839615007.0,443250416648.0,347976127556.0
Khấu hao lũy kế TSCĐ hữu hình,Accumulated depreciation,accumulated_depreciation,-2393395557983.0,-1761842060075.0,-1192699029236.0,-473488963568.0,-170840815989.0,-147652233346.0,-126617921412.0
GTCL tài sản thuê tài chính,Finance lease assets,finance_lease_assets,23063597437.0,23690883955.0,11043524438.0,11117573462.0,3911082302.0,4937535482.0,4135561699.0
Nguyên giá tài sản thuê tài chính,Cost,cost,33084740755.0,31617115020.0,17888753803.0,14440036237.0,5986068212.0,5986068212.0,4253720603.0
Khấu hao lũy kế tài sản thuê tài chính,Accumulated depreciation,accumulated_depreciation,-10021143318.0,-7926231065.0,-6845229365.0,-3322462775.0,-2074985910.0,-1048532730.0,-118158904.0
GTCL tài sản cố định vô hình,Intangible fixed assets,intangible_fixed_assets,398809621130.0,407612739722.0,395430145309.0,2463206764.0,2235224421.0,10347475958.0,680170672.0
Nguyên giá TSCĐ vô hình,Cost,cost,470434553837.0,468651373837.0,446657218165.0,44529603435.0,3215021046.0,10749769000.0,1084391500.0
Khấu hao lũy kế TSCĐ vô hình,Accumulated depreciation,accumulated_depreciation,-71624932707.0,-61038634115.0,-51227072856.0,-42066396671.0,-979796625.0,-402293042.0,-404220828.0
Xây dựng cơ bản đang dang dở (trước 2015),Construction in progress (before 2015),construction_in_progress_before_2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Giá trị ròng tài sản đầu tư,Investment properties,investment_properties,0.0,0.0,0.0,0.0,0.0,0.0,653236606670.0
Nguyên giá tài sản đầu tư,Cost,cost,0.0,0.0,0.0,0.0,0.0,0.0,653236606670.0
Khấu hao lũy kế tài sản đầu tư,Accumulated depreciation,accumulated_depreciation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
