item,item_en,item_id,2025,2024,2023
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,2308123422332.0,1918121005150.0,1943143492191.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,154634499606.0,311759557111.0,126652291571.0
Tiền,Cash,cash,154634499606.0,311759557111.0,126652291571.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,0.0,0.0,0.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,220000000000.0,53000000000.0,311893447343.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,0.0,0.0,0.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,0.0,0.0,0.0
Các khoản phải thu,Accounts receivable,accounts_receivable,1293969847733.0,1004994141341.0,950473005126.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,971616034046.0,914795941409.0,901584683797.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,308811541638.0,77565334650.0,38729180671.0
Phải thu nội bộ,Intercompany receivables,intercompany_receivables,0.0,0.0,0.0
Phải thu hợp đồng xây dựng đang thực hiện,Construction contract in progress receivables,construction_contract_in_progress_receivables,0.0,0.0,0.0
Phải thu khác,Other receivables,other_receivables,5542272049.0,14092489924.0,10159140658.0
Dự phòng nợ khó đòi,Provision for doubtful debts,provision_for_doubtful_debts,0.0,-1459624642.0,0.0
"Hàng tồn kho, ròng","Inventories, Net",inventories_net,638507709981.0,547867921617.0,552911562000.0
Hàng tồn kho,Inventories,inventories,638507709981.0,547867921617.0,552911562000.0
Dự phòng giảm giá hàng tồn kho,Provision for decline in inventories,provision_for_decline_in_inventories,0.0,0.0,0.0
Tài sản lưu động khác,Other current assets,other_current_assets,1011365012.0,499385081.0,1213186151.0
Chi phí trả trước ngắn hạn,Short-term prepayments,short_term_prepayments,932679677.0,447830333.0,453075190.0
Thuế GTGT được khấu trừ,VAT to be claimed,vat_to_be_claimed,51554748.0,51554748.0,760110961.0
Phải thu thuế khác,Other taxes receivable,other_taxes_receivable,27130587.0,0.0,0.0
Tài sản lưu động khác,Other current assets,other_current_assets,0.0,0.0,0.0
TÀI SẢN DÀI HẠN,LONG-TERM ASSETS,long_term_assets,215928891598.0,193515321522.0,112763800645.0
Phải thu dài hạn,Long-term trade receivables,long_term_trade_receivables,0.0,0.0,0.0
Phải thu khách hàng dài hạn,Long-term trade receivables from customers,long_term_trade_receivables_from_customers,0.0,0.0,0.0
Phải thu nội bộ dài hạn,Long-term intercompany receivables,long_term_intercompany_receivables,0.0,0.0,0.0
Phải thu dài hạn khác,Other long-term receivables,other_long_term_receivables,0.0,0.0,0.0
Dự phòng phải thu dài hạn,Provision for doubtful LT receivable,provision_for_doubtful_lt_receivable,0.0,0.0,0.0
Tài sản cố định,Fixed assets,fixed_assets,75160870862.0,78317639357.0,81240279630.0
GTCL TSCĐ hữu hình,Tangible fixed assets,tangible_fixed_assets,65838294701.0,69953073944.0,72795714213.0
Nguyên giá TSCĐ hữu hình,Cost,cost,108057927907.0,104421870816.0,99473075068.0
Khấu hao lũy kế TSCĐ hữu hình,Accumulated depreciation,accumulated_depreciation,-42219633206.0,-34468796872.0,-26677360855.0
GTCL tài sản thuê tài chính,Finance lease assets,finance_lease_assets,0.0,0.0,0.0
Nguyên giá tài sản thuê tài chính,Cost,cost,0.0,0.0,0.0
Khấu hao lũy kế tài sản thuê tài chính,Accumulated depreciation,accumulated_depreciation,0.0,0.0,0.0
GTCL tài sản cố định vô hình,Intangible fixed assets,intangible_fixed_assets,9322576161.0,8364565413.0,8444565417.0
Nguyên giá TSCĐ vô hình,Cost,cost,9690898759.0,8615898759.0,8615898759.0
Khấu hao lũy kế TSCĐ vô hình,Accumulated depreciation,accumulated_depreciation,-368322598.0,-251333346.0,-171333342.0
Xây dựng cơ bản đang dang dở (trước 2015),Construction in progress (before 2015),construction_in_progress_before_2015,0.0,0.0,0.0
Giá trị ròng tài sản đầu tư,Investment properties,investment_properties,0.0,0.0,0.0
Nguyên giá tài sản đầu tư,Cost,cost,0.0,0.0,0.0
Khấu hao lũy kế tài sản đầu tư,Accumulated depreciation,accumulated_depreciation,0.0,0.0,0.0
Đầu tư dài hạn,Long-term investments,long_term_investments,94240000000.0,96500000000.0,30000000000.0
Đầu tư vào các công ty con,Investments in subsidiaries,investments_in_subsidiaries,0.0,0.0,0.0
Đầu tư vào các công ty liên kết,Investments in associates,investments_in_associates,69240000000.0,66500000000.0,0.0
Đầu tư dài hạn khác,Other long-term investments,other_long_term_investments,0.0,0.0,0.0
Dự phòng giảm giá đầu tư dài hạn,Provision for long-term investments,provision_for_long_term_investments,0.0,0.0,0.0
Lợi thế thương mại (trước 2015),Goodwill (before 2015),goodwill_before_2015,0.0,0.0,0.0
Tài sản dài hạn khác,Other long-term assets,other_long_term_assets,7242060736.0,18417182165.0,1159928870.0
