item,item_en,item_id,2025,2024,2023,2022,2021
Phải thu thuế khác,Other taxes receivable,other_taxes_receivable,5277793393.0,11807158901.0,17650437192.0,16001546108.0,5436552691.0
Tài sản lưu động khác,Other current assets,other_current_assets,0.0,0.0,0.0,0.0,0.0
TÀI SẢN DÀI HẠN,LONG-TERM ASSETS,long_term_assets,4123093702009.0,6042489119743.0,7159740434753.0,9652096136063.0,10677904872417.0
Phải thu dài hạn,Long-term trade receivables,long_term_trade_receivables,59006546278.0,70228984552.0,7258539911.0,15111000000.0,172000000.0
Phải thu khách hàng dài hạn,Long-term trade receivables from customers,long_term_trade_receivables_from_customers,5120843457.0,6144191684.0,7167539911.0,0.0,0.0
Phải thu nội bộ dài hạn,Long-term intercompany receivables,long_term_intercompany_receivables,0.0,0.0,0.0,0.0,0.0
Phải thu dài hạn khác,Other long-term receivables,other_long_term_receivables,3885702821.0,4084792868.0,91000000.0,111000000.0,172000000.0
Dự phòng phải thu dài hạn,Provision for doubtful LT receivable,provision_for_doubtful_lt_receivable,0.0,0.0,0.0,0.0,0.0
Tài sản cố định,Fixed assets,fixed_assets,1526791239726.0,2452872283273.0,3460495583375.0,6682659963865.0,6785197478113.0
GTCL TSCĐ hữu hình,Tangible fixed assets,tangible_fixed_assets,1458879608172.0,2376558404175.0,3380042566756.0,6588973490925.0,6656073821302.0
Nguyên giá TSCĐ hữu hình,Cost,cost,3868223214528.0,5398881690873.0,6578153387235.0,9630097534692.0,9424513863082.0
Khấu hao lũy kế TSCĐ hữu hình,Accumulated depreciation,accumulated_depreciation,-2409343606356.0,-3022323286698.0,-3198110820479.0,-3041124043767.0,-2768440041780.0
GTCL tài sản thuê tài chính,Finance lease assets,finance_lease_assets,0.0,0.0,0.0,0.0,0.0
Nguyên giá tài sản thuê tài chính,Cost,cost,0.0,0.0,0.0,0.0,0.0
Khấu hao lũy kế tài sản thuê tài chính,Accumulated depreciation,accumulated_depreciation,0.0,0.0,0.0,0.0,0.0
GTCL tài sản cố định vô hình,Intangible fixed assets,intangible_fixed_assets,67911631554.0,76313879098.0,80453016619.0,93686472940.0,129123656811.0
Nguyên giá TSCĐ vô hình,Cost,cost,160693713433.0,153990156389.0,140922888119.0,138209973949.0,168249758669.0
Khấu hao lũy kế TSCĐ vô hình,Accumulated depreciation,accumulated_depreciation,-92782081879.0,-77676277291.0,-60469871500.0,-44523501009.0,-39126101858.0
Xây dựng cơ bản đang dang dở (trước 2015),Construction in progress (before 2015),construction_in_progress_before_2015,0.0,0.0,0.0,0.0,0.0
Giá trị ròng tài sản đầu tư,Investment properties,investment_properties,81452632451.0,122911711526.0,130231517835.0,139231876837.0,0.0
Nguyên giá tài sản đầu tư,Cost,cost,110848382030.0,217388052952.0,215774318168.0,215774318168.0,2374201599.0
Khấu hao lũy kế tài sản đầu tư,Accumulated depreciation,accumulated_depreciation,-29395749579.0,-94476341426.0,-85542800333.0,-76542441331.0,-2374201599.0
Đầu tư dài hạn,Long-term investments,long_term_investments,1697968116417.0,2661917601247.0,2653149719113.0,1882150801639.0,2598357532586.0
Đầu tư vào các công ty con,Investments in subsidiaries,investments_in_subsidiaries,0.0,0.0,0.0,0.0,0.0
Đầu tư vào các công ty liên kết,Investments in associates,investments_in_associates,1693356435116.0,1547320050847.0,1420899672268.0,767553251239.0,2595121851285.0
Đầu tư dài hạn khác,Other long-term investments,other_long_term_investments,3235681301.0,1114597550400.0,1246882550400.0,1114597550400.0,3235681301.0
Dự phòng giảm giá đầu tư dài hạn,Provision for long-term investments,provision_for_long_term_investments,0.0,0.0,-14632503555.0,0.0,0.0
Lợi thế thương mại (trước 2015),Goodwill (before 2015),goodwill_before_2015,0.0,0.0,0.0,0.0,0.0
Tài sản dài hạn khác,Other long-term assets,other_long_term_assets,561754780298.0,561404718673.0,644143520570.0,761554332024.0,779801111859.0
Trả trước dài hạn,Long-term prepayments,long_term_prepayments,481377196173.0,422483286518.0,493522874541.0,591666043239.0,571261215801.0
Thuế thu nhập hoãn lại,Deferred income tax assets,deferred_income_tax_assets,23325257680.0,44141262384.0,26337031849.0,16101230196.0,25249393060.0
Các tài sản dài hạn khác,Other long-term assets,other_long_term_assets,0.0,0.0,0.0,0.0,0.0
TỔNG CỘNG TÀI SẢN,Total Assets,total_assets,16345960484828.0,12903267306413.0,13722932430964.0,17419623160026.0,23123789280402.0
NỢ PHẢI TRẢ,Liabilities,liabilities,7948905657554.0,5949830020488.0,7771052596049.0,11416179720742.0,17136396187466.0
Nợ ngắn hạn,Current liabilities,current_liabilities,6772070366591.0,5380609149671.0,6458680884042.0,6165114622354.0,10923217163650.0
Vay ngắn hạn,Short-term borrowings,short_term_borrowings,4466889240113.0,2971092931895.0,4369528999468.0,3505874297985.0,5369748183845.0
Phải trả người bán,Trade accounts payable,trade_accounts_payable,606456022060.0,1125645462323.0,580776898147.0,1052192064846.0,2804641003738.0
Người mua trả tiền trước,Advances from customers,advances_from_customers,625974768598.0,293533926852.0,220725681780.0,246176594439.0,377174341347.0
Thuế và các khoản phải trả Nhà nước,Taxes and other payable to State Budget,taxes_and_other_payable_to_state_budget,534565716479.0,251749622466.0,89249003108.0,89968626997.0,71085559607.0
Phải trả người lao động,Payable to employees,payable_to_employees,184711000544.0,132502016484.0,128095191775.0,83766866498.0,120272570238.0
Chi phí phải trả,Accrued expenses,accrued_expenses,94689934977.0,67470433342.0,38495624493.0,61402099246.0,98282844852.0
Phải trả nội bộ,Intercompany payables,intercompany_payables,0.0,0.0,0.0,0.0,0.0
