item,item_en,item_id,2025,2024,2023,2022
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,20418806759593.0,12103232574018.0,10151091274871.0,9493486425741.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,4991772705349.0,3216476205111.0,2080053188838.0,2163840833435.0
Tiền,Cash,cash,1976403583854.0,1298954312762.0,1313929449019.0,1082303599215.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,3015369121495.0,1917521892349.0,766123739819.0,1081537234220.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,3300002818021.0,439488532083.0,657186849988.0,428954942982.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,806290599737.0,0.0,0.0,300000000000.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,-14438251740.0,0.0,0.0,0.0
Các khoản phải thu,Accounts receivable,accounts_receivable,2697256021244.0,2999197147281.0,1522298964158.0,1708299457542.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,1115171870308.0,1026936427112.0,1235279848392.0,1081968267640.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,454932287632.0,246169758412.0,252478985649.0,467228804052.0
Phải thu nội bộ,Intercompany receivables,intercompany_receivables,0.0,0.0,0.0,0.0
Phải thu hợp đồng xây dựng đang thực hiện,Construction contract in progress receivables,construction_contract_in_progress_receivables,0.0,0.0,0.0,0.0
Phải thu khác,Other receivables,other_receivables,1087935047323.0,675720193019.0,320222932574.0,381056585646.0
Dự phòng nợ khó đòi,Provision for doubtful debts,provision_for_doubtful_debts,-361233184019.0,-299802813962.0,-286182802457.0,-322754199796.0
"Hàng tồn kho, ròng","Inventories, Net",inventories_net,8676198830711.0,4669346959793.0,5045335195080.0,4540581135466.0
Hàng tồn kho,Inventories,inventories,8903896769732.0,4797075068684.0,5270856919820.0,4682838438459.0
Dự phòng giảm giá hàng tồn kho,Provision for decline in inventories,provision_for_decline_in_inventories,-227697939021.0,-127728108891.0,-225521724740.0,-142257302993.0
Tài sản lưu động khác,Other current assets,other_current_assets,753576384268.0,778723729750.0,846217076807.0,651810056316.0
Chi phí trả trước ngắn hạn,Short-term prepayments,short_term_prepayments,33811797774.0,29858610600.0,50795111573.0,55371593484.0
Thuế GTGT được khấu trừ,VAT to be claimed,vat_to_be_claimed,705186099977.0,719224478715.0,721314777024.0,561209242586.0
Phải thu thuế khác,Other taxes receivable,other_taxes_receivable,14578486517.0,29640640435.0,74107188210.0,35229220246.0
Tài sản lưu động khác,Other current assets,other_current_assets,0.0,0.0,0.0,0.0
TÀI SẢN DÀI HẠN,LONG-TERM ASSETS,long_term_assets,26506919075881.0,23472572682371.0,27649052041208.0,23230013310522.0
Phải thu dài hạn,Long-term trade receivables,long_term_trade_receivables,1966096975177.0,1098947733058.0,1095263241860.0,305441420670.0
Phải thu khách hàng dài hạn,Long-term trade receivables from customers,long_term_trade_receivables_from_customers,4266810286.0,4266810286.0,0.0,0.0
Phải thu nội bộ dài hạn,Long-term intercompany receivables,long_term_intercompany_receivables,0.0,0.0,0.0,0.0
Phải thu dài hạn khác,Other long-term receivables,other_long_term_receivables,1297992351166.0,274680922772.0,255263241860.0,305441420670.0
Dự phòng phải thu dài hạn,Provision for doubtful LT receivable,provision_for_doubtful_lt_receivable,-89627826923.0,0.0,0.0,0.0
Tài sản cố định,Fixed assets,fixed_assets,11327430664994.0,11292296376876.0,15245017530236.0,10187281571813.0
GTCL TSCĐ hữu hình,Tangible fixed assets,tangible_fixed_assets,10479087438972.0,10474888693504.0,14390411456969.0,9357761698107.0
Nguyên giá TSCĐ hữu hình,Cost,cost,21454143558284.0,18983540475351.0,22611092201853.0,16401346830027.0
Khấu hao lũy kế TSCĐ hữu hình,Accumulated depreciation,accumulated_depreciation,-10975056119312.0,-8508651781847.0,-8220680744884.0,-7043585131920.0
GTCL tài sản thuê tài chính,Finance lease assets,finance_lease_assets,280121870454.0,287897552481.0,309101024817.0,262716070137.0
Nguyên giá tài sản thuê tài chính,Cost,cost,284454272251.0,335805927142.0,349480850228.0,290192577450.0
Khấu hao lũy kế tài sản thuê tài chính,Accumulated depreciation,accumulated_depreciation,-4332401797.0,-47908374661.0,-40379825411.0,-27476507313.0
